"ranks","gene","z"
0.156520617954699,"RGS16",0.157817925526076
0.156503387368694,"AC114781.2",0.157800262260597
0.156457237599727,"AL137802.2",0.157752954099824
0.156436796871079,"FBXL7",0.157732000518243
0.156413808792561,"DNAJB7",0.157708435838513
0.156402247111921,"SLC3A1",0.157696584226298
0.156377590256886,"CASC9",0.157671309199544
0.156335084866353,"TBCCD1",0.157627738625932
0.156328190077722,"WDSUB1",0.157620671110179
0.156327480652526,"IER3",0.157619943913465
0.156325359443699,"SNAPC4",0.157617769568095
0.156319006126636,"MSRB3",0.1576112571085
0.156303996598242,"RGS6",0.157595871663127
0.156277088084974,"PATZ1",0.157568289405394
0.156257716700698,"MKNK1",0.15754843314105
0.156252412948673,"PNKP",0.157542996653677
0.156248091816802,"RHOQ",0.157538567385015
0.156246831626447,"HLA-F",0.157537275659415
0.156237430206218,"CTIF",0.157527638992699
0.156209143689399,"LMF1",0.157498644853161
0.156184174257852,"DDAH2",0.15747305099819
0.15617762856546,"PRDM15",0.157466341648152
0.15616853121063,"CHIC2",0.157457016861487
0.156162999405992,"EPB41L5",0.15745134677625
0.156143190435276,"EPHB4",0.157431042715601
0.156141694898836,"AC027601.6",0.157429509806119
0.156141023676042,"AC090001.1",0.157428821809892
0.156134535742261,"CCDC30",0.157422171754366
0.156130406298792,"ATP2B1-AS1",0.157417939130755
0.156109174224406,"COX18",0.157396176630486
0.156091970162494,"MAP2K7",0.157378542880126
0.156085082286952,"C20orf194",0.157371483000298
0.156061737238324,"RING1",0.15734755509397
0.156028741990419,"PARP4",0.157313736355838
0.156003284128402,"C12orf4",0.15728764336441
0.156003114684168,"BX664727.3",0.157287469693549
0.156001417927028,"ASAP2",0.157285730612912
0.155978476329008,"SMG8",0.157262216857898
0.155934830663071,"RUFY1",0.15721748315752
0.155899084596582,"MLLT10",0.157180846449066
0.155886376471866,"TRIM73",0.157167821792057
0.155868970922802,"TMEM39A",0.157149982793701
0.155863770998934,"SORT1",0.157144653395703
0.155852922595618,"ASPHD1",0.157133534903939
0.155850457129448,"PIP5KL1",0.157131008061397
0.155847220509704,"EEF1A2",0.157127690870875
0.155845674395115,"SRSF8",0.157126106269301
0.155838220546414,"SETD1A",0.15711846688507
0.155814162520243,"ZC2HC1A",0.157093810148914
0.155785933117567,"TBC1D20",0.157064878468612
0.15578418641995,"RBM5",0.157063088326052
0.155772797037092,"IFITM3",0.157051415683906
0.155770541337855,"IL18R1",0.157049103889407
0.155765867495003,"RTCA-AS1",0.157044313821627
0.155751922291596,"ALG12",0.157030021883901
0.155738538446796,"RBM38",0.15701630532227
0.155735975799542,"PAM",0.157013678975353
0.155692227435649,"CPNE1",0.156968843490774
0.155686932140569,"CASP10",0.156963416653247
0.155675963431051,"PTCD1",0.156952175495002
0.155656688005385,"DLX4",0.156932421387708
0.155649156800926,"MARC2",0.156924703188001
0.155630007243358,"PLCD3",0.156905078242032
0.155629822620356,"ZBED5-AS1",0.156904889036341
0.155617935656774,"HTATIP2",0.156892707039514
0.155596306071643,"PJA2",0.15687054072873
0.15557630629853,"ZSCAN30",0.156850044808862
0.155557886081407,"AC060809.1",0.156831167745639
0.155547681212523,"TYK2",0.156820709830038
0.155541012640209,"CBX8",0.15681387591775
0.155526339120745,"ENTPD4",0.156798838635537
0.155516441780006,"MFSD1",0.15678869597526
0.155511413915261,"C20orf96",0.156783543500056
0.155511192361003,"ATAD5",0.156783316454994
0.155507966547773,"MACROD2",0.156780010697882
0.155503401639807,"KIAA1324L",0.156775332665658
0.155498898265852,"TBC1D19",0.156770717699004
0.15549072528854,"SIAH2",0.156762342213882
0.155455039816339,"EIF2B4",0.156725772792303
0.155454374412161,"METTL21A",0.156725090909636
0.155454180581959,"NXPH4",0.156724892279327
0.155435438623008,"CCDC85C",0.156705686243218
0.155424863055704,"ZNF468",0.156694848860663
0.155419145136788,"MBLAC2",0.156688989400635
0.155418771173169,"PDCD7",0.156688606180309
0.155413239747821,"STX1A",0.156682937841133
0.155373791568815,"CBX4",0.15664251353044
0.155368323984181,"RNF146",0.156636910692368
0.155364129786699,"ADA",0.156632612748255
0.155331401362453,"CARD10",0.156599074958942
0.155327476396893,"SLC12A4",0.156595052953513
0.155323801383198,"AC024075.1",0.156591287084252
0.155315609817545,"ZNF787",0.156582893018384
0.155304830509186,"SUMO4",0.156571847272672
0.155302167380574,"ABCD4",0.156569118324065
0.155299453477906,"SPEF2",0.156566337348888
0.15529352946257,"RANBP6",0.156560266933339
0.155290188982624,"ARNT",0.156556843905145
0.155288576652062,"PWP2",0.15655519173279
0.155263222860618,"SAMD4A",0.156529211543256
0.155244847864248,"AC011043.1",0.156510382699919
0.155227728912161,"NTNG2",0.156492841023151
0.155208745784246,"ITPRIP",0.156473389249464
0.155202012675545,"SPTY2D1OS",0.15646648994543
0.155197657386666,"OSBPL2",0.156462027161526
0.155196936212648,"MMP15",0.156461288188454
0.155193254610568,"LIX1-AS1",0.15645751572463
0.155168920917522,"GOLGA8A",0.156432581588409
0.155157812764865,"R3HCC1",0.156421199401983
0.155151614665623,"AL080250.1",0.156414848415538
0.155145746266167,"INPP1",0.156408835273049
0.155136140410606,"PAAF1",0.156398992514976
0.155135711322839,"UNC5B",0.156398552845619
0.15512906831635,"SYNM",0.156391746025807
0.155109375222918,"FAM104A",0.156371567394698
0.1551077821092,"AL121839.2",0.156369935007923
0.155082265172363,"FSIP2",0.156343789146337
0.155070745677267,"XPC",0.156331985795737
0.155053572365908,"FBXO38",0.15631438939163
0.15503571204993,"MGLL",0.156296089159275
0.155032456268962,"PHKA2",0.15629275319655
0.155019652509781,"GSKIP",0.156279634146215
0.154988395702065,"EVA1C",0.15624760786719
0.154987104037892,"HERC1",0.156246284412033
0.154980984258964,"ADNP2",0.156240014017899
0.154973347648133,"GPATCH3",0.156232189477876
0.154939970454319,"SCN8A",0.15619799112812
0.154922016273841,"HLA-DQB1",0.156179595383309
0.154913651024441,"AP002748.4",0.156171024435136
0.154892305691546,"BRF2",0.156149154330552
0.154890408176551,"CLMN",0.156147210172618
0.154885605605048,"AL355574.1",0.156142289554025
0.154879839733556,"PAK3",0.156136381967461
0.154876336204717,"HESX1",0.156132792333269
0.154875488708608,"KIAA0355",0.156131924009059
0.154857311666724,"LRRK1",0.156113300303637
0.154854729305763,"ZBTB26",0.156110654495165
0.154851566955448,"IL17RD",0.1561074144502
0.154843898970404,"DECR2",0.156099558086683
0.154836459276502,"ZC3H12C",0.156091935640978
0.154771908301937,"RAD51B",0.156025799764057
0.154727052765276,"ZNF226",0.155979843699037
0.154705242310853,"HSD17B1",0.15595749836236
0.1546862730563,"TNFAIP8L3",0.155938064029102
0.154663291906749,"ZNF316",0.155914519595738
0.154657938076111,"DHRS4L2",0.155909034563649
0.154604464328763,"OGG1",0.15585425089447
0.15459880458114,"AL606489.1",0.155848452556923
0.15459210970241,"DNM1P35",0.155841593754492
0.154582480777694,"JAG2",0.155831729091642
0.154581003024733,"CCDC61",0.155830215162566
0.154575674708023,"ZDBF2",0.155824756411942
0.154571664167556,"BICRA",0.155820647701988
0.154571478397272,"PDE1C",0.15582045738457
0.15455453142716,"HDAC5",0.155803095647374
0.154550859704506,"TIMM23B",0.155799334073757
0.154520565093885,"CFAP58",0.155768298288661
0.15450650037197,"BRD3OS",0.155753889566696
0.154489070124969,"BOLA2B",0.155736033093434
0.154473053054928,"ARRDC2",0.155719624440768
0.154441482091552,"CFD",0.155687281879365
0.15443770215416,"AC099778.1",0.155683409581522
0.154426993484358,"AC127526.2",0.15567243927709
0.154421777822855,"AL354710.2",0.155667096199805
0.154419474854833,"RYR3",0.155664736974331
0.154398536097882,"ZNF585B",0.155643286799281
0.154393592047464,"CU638689.5",0.155638222013774
0.154390471154088,"AC074008.1",0.15563502491139
0.154366930893545,"LINC01719",0.155610909923566
0.154347377943066,"PTPN3",0.155590879731093
0.15433426800059,"DCLRE1B",0.155577449874807
0.154331110215151,"ALDH8A1",0.155574215040204
0.154329877112135,"INHA",0.155572951850665
0.154325591527129,"DST",0.15556856170535
0.154308642977781,"GAB1",0.155551199701181
0.154249518819553,"SOS2",0.155490633954934
0.154240102541218,"GCNA",0.155480988189747
0.154238204090659,"TPRG1",0.155479043474975
0.154230009665241,"ZNF239",0.155470649369228
0.154226195575249,"SLC1A1",0.15546674234557
0.154203517399862,"IQCJ-SCHIP1",0.155443511693661
0.154179580634105,"FAM193B",0.155418991970661
0.154166276050742,"NAXD",0.15540536344694
0.15414510381055,"SYNE3",0.155383675822546
0.154136141636352,"ATN1",0.155374495530751
0.154130730839822,"AL078600.1",0.155368953061126
0.154130428801616,"ZNF793",0.155368643673023
0.154127977967705,"CLEC4F",0.155366133200807
0.15412583153746,"ATG9A",0.155363934541178
0.15412439270407,"CASD1",0.155362460697289
0.154104195273343,"HOXC13",0.15534177188205
0.154099442208802,"AC096537.1",0.15533690319909
0.154094166989004,"LINC01725",0.155331499667987
0.154092415522526,"CLDN18",0.155329705601872
0.154083568489812,"TMSB15B",0.155320643404413
0.153989445875534,"BLOC1S2",0.155224233242471
0.153973312629359,"PPCS",0.155207708182748
0.153972241594032,"SLC29A1",0.155206611139133
0.153970702297206,"SERPINE2",0.155205034463725
0.153955619217975,"AC006064.4",0.15518958516418
0.153941922385701,"SENP8",0.155175555833628
0.153925442875214,"CD109",0.155158676354106
0.153906904719871,"TPPP",0.155139688369835
0.153902651741503,"CDC25C",0.155135332208463
0.153898863398275,"AHI1",0.155131451959826
0.153873258375535,"KIF9-AS1",0.155105225879379
0.15387319087671,"TADA2A",0.15510515674363
0.153855442696943,"PHLDB3",0.155086978200897
0.153829659800312,"USE1",0.155060570294328
0.15380256494295,"GPS2",0.155032818854651
0.153801495470817,"GOLGA8N",0.155031723471151
0.153798245042857,"TMEM47",0.155028394293491
0.153786358383664,"ZNF555",0.155016219679449
0.153775648028238,"NHEJ1",0.15500524990423
0.153762101481242,"SPARCL1",0.15499137529392
0.153697305088331,"DPYD",0.154925010513974
0.153693854700681,"AC072028.1",0.154921476648175
0.153690716795085,"PTPN23",0.154918262827907
0.15367948321776,"C17orf53",0.154906757505097
0.153648128092267,"PNISR",0.154874644099724
0.153646853903107,"WARS2-AS1",0.154873339102782
0.153644341965948,"MAFG-DT",0.154870766432677
0.153604179281377,"RIN2",0.154829632981649
0.153584137460133,"PIM1",0.154809106926849
0.153582982150851,"C16orf70",0.154807923707905
0.153582276667115,"BTNL9",0.154807201181487
0.153556228360979,"CALCOCO1",0.154780523727198
0.153509020052081,"HOXB2",0.154732175746802
0.153464424037194,"PRADC1",0.154686503783864
0.153449829195484,"EAF1",0.154671556958011
0.153445939733764,"ZMAT3",0.154667573705622
0.153441490286481,"DNAJB4",0.154663016970121
0.153429997686307,"LYSMD1",0.154651247281734
0.153425033579799,"MTCP1",0.154646163503063
0.153407279299069,"ARRDC3-AS1",0.154627981276035
0.153400683267893,"LGALSL-DT",0.154621226281039
0.153398609754329,"SERINC1",0.154619102798857
0.153388793047316,"CIC",0.154609049542464
0.153387394448637,"ARL6",0.154607617244818
0.153379814340093,"HCG11",0.154599854505965
0.153368212906724,"ACP4",0.154587973590843
0.153333975055328,"GNL1",0.154552911192519
0.153327670661529,"AC092683.1",0.154546455011706
0.153323173206154,"SGCB",0.154541849281675
0.153318438560047,"CENPL",0.154537000657655
0.153314387716577,"MAPK4",0.154532852303289
0.153267825276488,"ARVCF",0.154485169402603
0.153255602064929,"SYNGAP1",0.154472652171897
0.153226762587876,"CKAP2L",0.154443119175626
0.153207566990884,"CNKSR2",0.154423462119419
0.153204826575285,"SSH1",0.154420655834307
0.153176024722524,"C12orf60",0.154391161836866
0.153170517561068,"RDH14",0.154385522361756
0.153166175168477,"LSM11",0.154381075646822
0.153161231734489,"DUSP28",0.154376013458346
0.153144050155716,"DNAL1",0.154358419193216
0.153142693124923,"GFPT1",0.154357029571781
0.153123678749813,"AC073343.2",0.154337558606972
0.153103740065717,"ARL17A",0.154317141262573
0.153101435996685,"ZNF461",0.154314781888872
0.153078383952775,"CES3",0.154291176619582
0.153058650155094,"AC010997.4",0.15427096936655
0.153052606134287,"XYLT2",0.154264780361965
0.153047642359198,"APLF",0.154259697524767
0.15304488921216,"AC024896.1",0.154256878343598
0.153038375904575,"FAM66D",0.154250208824257
0.153025453666022,"PPP1R3E",0.154236976705806
0.15300086539092,"SAP30L",0.154211798943064
0.152991156692124,"LINC02163",0.154201857538053
0.152984804513165,"RESF1",0.154195353121119
0.152963776594086,"ZFPM2-AS1",0.154173821333808
0.152963186386503,"EIF4E3",0.154173216985795
0.152962114160204,"SCYL3",0.154172119070954
0.15295196444609,"RIPK2",0.154161726206891
0.152939248337917,"POLR1C",0.154148705514001
0.152937335289336,"FTX",0.154146746647291
0.152914202564335,"RASSF2",0.154123059978975
0.152906013250021,"SCRN1",0.154114674601959
0.15289610637379,"AL445685.1",0.154104530571128
0.152893031802669,"RBMS3-AS2",0.154101382406144
0.152833833286165,"IFFO1",0.154040767486922
0.152828099834448,"KIF24",0.154034896914457
0.152803454855002,"PDE4DIP",0.154009662647712
0.152799723849479,"CBS",0.154005842446896
0.15278351345464,"NR5A2",0.153989244569994
0.152743214837403,"DNAJC28",0.153947983047224
0.152740816287459,"EXOC7",0.153945527202111
0.152726977352366,"SPSB1",0.153931357726548
0.152719474961816,"PCF11-AS1",0.153923676168387
0.152701381057992,"ELK4",0.153905150230903
0.152698729571777,"RNF115",0.153902435443149
0.152681313880216,"MTMR7",0.15388460402559
0.152677758793515,"AC124947.1",0.153880964088159
0.152667645855286,"ATL3",0.153870609802358
0.152663633708217,"AL022332.1",0.153866501913557
0.152639755939747,"AL590062.1",0.153842054457259
0.152635305501359,"SLC33A1",0.153837497858244
0.152635242613862,"KLHL28",0.153837433470675
0.152633045303456,"NPL",0.153835183748073
0.152629951902048,"TLCD5",0.153832016562729
0.152628005518736,"PER1",0.153830023755773
0.152626446037186,"ZBTB8A",0.153828427079539
0.152617697381541,"ACSS3",0.153819469776996
0.152616585593997,"HOOK2",0.153818331476158
0.152600724108142,"PRSS48",0.153802091777438
0.152591252576262,"PTGFR",0.15379239443781
0.152580702094908,"AC103923.1",0.15378159245961
0.152570634843977,"CCDC136",0.153771285264024
0.152558456872791,"ZNF260",0.153758817084224
0.152557603414622,"AC009118.3",0.153757943289396
0.152532163637763,"PPIL6",0.153731897426837
0.152527776231513,"ORAI1",0.153727405514488
0.152525104696385,"AL158206.1",0.153724670347575
0.152503903542515,"HIST1H2BO",0.153702964296323
0.152495327217935,"PTPRN2",0.153694183770673
0.152488165598011,"TACC1",0.153686851651612
0.152484411061247,"AC018682.1",0.153683007735857
0.152481273774164,"FNDC1",0.153679795767236
0.152475656349203,"PCBP3",0.153674044630165
0.152474472464291,"LINC00960",0.153672832566413
0.152471731755238,"FANCM",0.153670026624695
0.152455484490245,"DLGAP2",0.153653392701636
0.152448021462106,"MTNR1A",0.153645752094032
0.152428437297659,"LRRC36",0.153625702017664
0.152410374691888,"CCP110",0.153607209806855
0.152404410138646,"LRP4-AS1",0.153601103414244
0.152387954121707,"MIS12",0.153584256125832
0.15238529536691,"AC092745.5",0.153581534162464
0.152375795730996,"KIF13B",0.153571808703028
0.152369341697345,"AC012150.1",0.153565201261773
0.152367112508657,"C2orf76",0.15356291909001
0.152339519303722,"SNTB1",0.153534670184679
