"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"4917","GOMF_ANKYRIN_BINDING","0.815356489945155","0.913358459755525","0.0509082865515105","0.428857849497692","0.767817172980447","19","c(""SPTBN1"", ""PLEC"", ""SPTB"", ""KCTD6"", ""NRCAM"", ""OBSCN"", ""RHCG"")"
"4918","GOBP_ORGAN_INDUCTION","0.815909090909091","0.913791637398795","0.0610363728309177","-0.4050633716089","-0.784273899325642","24","c(""DKK1"", ""HOXA11"", ""SPRY1"", ""MESP1"", ""FGF1"", ""BMP4"", ""FGF2"")"
"4919","GOBP_NATURAL_KILLER_CELL_ACTIVATION","0.816470588235294","0.914234600528563","0.0626618230932491","-0.34446221760038","-0.844534974596005","99","c(""PRDX1"", ""BAG6"", ""AXL"", ""KAT7"", ""PIK3CD"", ""HECTD1"", ""VAMP7"", ""LAMP1"", ""EMP2"", ""NFIL3"", ""ELF4"", ""ZBTB1"", ""DCAF15"", ""GATA3"", ""MICA"", ""TICAM2"", ""STAT5B"", ""IL18R1"")"
"4920","GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS","0.816876122082585","0.914292945270484","0.0499913914024592","0.434703107363963","0.771376281709486","18","c(""CTSC"", ""GLRA1"", ""JAM2"", ""CCN3"")"
"4921","GOBP_NEGATIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY","0.818181818181818","0.914292945270484","0.0597317976364411","-0.382663540029304","-0.800534582366443","35","c(""FKBP1A"", ""PPP1R11"", ""CHP1"", ""BOD1"", ""PPP1R35"", ""PTPA"", ""CRY2"", ""STYXL1"", ""PPP1R26"", ""URI1"")"
"4922","GOBP_N_GLYCAN_PROCESSING","0.818348623853211","0.914292945270484","0.0509082865515105","0.427353528445986","0.773148506871554","20","c(""FUT8"", ""MAN1A1"", ""GANAB"", ""MAN2A1"", ""GNPTAB"", ""MAN1C1"", ""MGAT4A"")"
"4923","GOBP_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS","0.817028985507246","0.914292945270484","0.0503964322442957","0.383039060179942","0.775224272547351","34","c(""LCLAT1"", ""LPGAT1"", ""TAMM41"", ""PNPLA8"", ""CDS2"", ""PTPMT1"", ""ABCA3"", ""PLA2G4B"", ""PLA2G6"")"
"4924","GOBP_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION","0.818181818181818","0.914292945270484","0.0609039347452418","-0.405560723959973","-0.787601149289297","23","c(""AP2S1"", ""ATAD1"", ""PPP3R1"", ""AP2M1"", ""RALA"", ""ARC"")"
"4925","GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING","0.81767955801105","0.914292945270484","0.0511147954416412","0.43691430894584","0.752334372297763","16","c(""ANK3"", ""IRX3"", ""CALM2"", ""CALM1"", ""CASQ2"", ""PDE4D"", ""CAMK2D"")"
"4926","GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT","0.817745803357314","0.914292945270484","0.0635007968065945","-0.370898347101862","-0.82199605151471","52","c(""LAMP1"", ""STK11"", ""TRIM58"", ""MKKS"", ""CNIH2"", ""CFAP20"", ""BBS4"", ""CCSAP"", ""CCDC65"")"
"4927","GOBP_REGULATION_OF_VASCULOGENESIS","0.81767955801105","0.914292945270484","0.0511147954416412","0.437626513410952","0.753560736113818","16","c(""HEY1"", ""HIF1AN"", ""RAP1A"", ""KDR"", ""HEY2"")"
"4928","GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY","0.818181818181818","0.914292945270484","0.0495901956956338","0.377439871040803","0.798514350878263","42","c(""PPP3CA"", ""NIPSNAP2"", ""AHNAK"", ""CALM1"", ""PPP3CC"", ""CACNA2D1"", ""STAC"", ""PDE4B"", ""CBARP"", ""CACNB4"", ""CDK5"", ""GNB5"", ""AKAP5"")"
"4929","GOCC_PCG_PROTEIN_COMPLEX","0.818348623853211","0.914292945270484","0.0509082865515105","0.385141476068051","0.787243182548299","37","c(""PHC2"", ""PHC3"", ""JARID2"", ""SUZ12"", ""EZH2"", ""PCGF1"", ""ASXL1"", ""EZH1"", ""RYBP"", ""KDM2B"", ""PCGF6"", ""YY1"", ""RBBP7"", ""YY2"")"
