"Gene","Coefficient_1227","P_Value_1227","Coefficient_9369","P_Value_9369"
"UBR5",0.108021122360878,0.000142000222446507,-0.0440220526093974,0.0201803989744207
"HDLBP",0.107906507188346,0.000352877939813715,-0.244592621685363,1.35630285409928e-33
"AFF3",0.107854743782751,0.000862740301680857,-0.161693395273342,7.97107454337205e-14
"BCAT1",0.107736330955201,0.000139699173886647,-0.0545335163003726,0.00387629232269697
"CHURC1",0.107400458643032,0.000305348900691914,0.101951813698797,2.87459146280967e-07
"DST",0.106940072073383,0.000404975520823849,0.0938655494978915,3.34630393706615e-06
"OGT",0.106760726201898,7.30532615417944e-06,0.00293215961727546,0.853547502261371
"MORF4L2",0.106610637211708,0.00026375430027528,-0.167791198248761,9.14639453205707e-18
"GOLGA4",0.106264582301389,0.000227553313638934,-0.00943616939264151,0.623793708088072
"PBX3",0.106194329561572,8.92326604627605e-05,-0.102536195918014,1.48480734815203e-08
"NCOR1",0.105481750191864,0.000155236502824965,0.148874404669718,1.42285923330953e-15
"PRKCA",0.105052638079639,6.61465281105419e-05,-0.00914387996672381,0.602794626693155
"SAMD4A",0.104645297940411,0.000224492884862358,-0.0093675262917948,0.620663721763764
"MIR222HG",0.104260144791543,5.54460845400373e-05,0.0231623875915442,0.17958654022065
"SRGAP1",0.10415947429744,0.000882428613592116,0.0571780056160253,0.00624647948028791
"FTX",0.103893172866812,0.00109100019201092,-0.0389347839679,0.0667145691082861
"ACAP2",0.103159319924491,0.000136056623174711,0.00180856442856989,0.920163380029693
"BBX",0.102998982636666,0.000338045848286606,-0.0690776329257095,0.000317790394136275
"SCFD2",0.102429652601851,0.000256933225350492,0.048703414917807,0.00922346571942828
"ERC1",0.10241265428072,9.42416919830363e-05,0.0352774837346679,0.0438648704690624
"FN1",0.101675898288596,0.00873352894970746,-0.335883856243492,3.98622071252127e-38
"WDFY2",0.101475050136998,4.83602187923545e-05,0.0241137816445119,0.147925493384162
"PRRC2C",0.101287647048709,0.000496676547554119,-0.0839535740259418,1.54289302080275e-05
"COL6A2",0.10095339677037,0.00122961148237633,0.137423926235672,4.62443416810168e-11
"RANBP17",0.100838067415352,0.000721180752761435,0.0431998658923375,0.0299955844336631
"OLA1",0.100802992849314,0.000620069014705525,0.0900312568445907,4.71172785087104e-06
"ZNF407",0.100630648096817,0.000159324232798459,-0.0251253271692896,0.157760721505005
"ZNF217",0.100484118676529,1.56016481157615e-05,-0.017192589313067,0.268002999990676
"RNGTT",0.100148109644648,3.87744472884095e-05,-0.0126111091552271,0.437485038801457
"ASPH",0.100139619066472,0.00123536724685487,0.156056566821599,5.09355359045461e-14
"SH3RF3",0.0994505339720777,0.000273690293673334,-0.0579627726421059,0.00148828932480786
"DOCK3",0.0993493486484958,8.37322625115597e-05,-0.0307551611702845,0.0680807364098096
"PSME4",0.0984483451613497,7.86250940580967e-05,0.0735027670751858,1.01047139415916e-05
"PTPRM",0.0983495562759256,0.000375047215380774,0.267004905337798,7.40443165787817e-47
"VPS13A",0.0980032268967195,0.000157102491097859,0.0774429653035821,7.73184735604272e-06
"ATP13A3",0.0979293488800815,0.000371723082142456,0.0907884737186531,7.79034888243087e-07
"TMEM158",0.0976660951781098,0.00153952383648942,-0.0204833999104948,0.319660615087098
"AKAP12",0.0972639128451123,0.008289627521624,0.080278152676933,0.00110146722443619
"HNRNPH3",0.0971537199675967,0.000366218924672145,0.0663237091175126,0.000269144432149287
"SCMH1",0.0970694425848993,0.00102287476510307,-0.0484705639707136,0.0140273207464259
"ACTN1",0.0970667336686072,0.000760163193401128,0.37640061637082,2.91511454067027e-83
"BIRC6",0.0969413166172027,0.000934607924444865,0.0131313008021557,0.50180052425628
"MAML3",0.0967724335680698,0.00233943511854491,-0.00294449835802215,0.889659958319674
"CRIM1",0.0967234498560956,0.00560847175445407,0.0622805630949747,0.00755546580297952
"JARID2",0.096307102125449,0.000206614284606293,-0.0358770185689394,0.0383510739368918
"CARD8",0.0957244407965549,0.000842222911562901,-0.0775682927880856,5.09470717237394e-05
"TOP1",0.0955563727957108,0.00175011808287664,0.162671412974451,1.63536796645362e-15
"MARCH6",0.0950481792216035,0.000408640517439431,-0.0072854483750345,0.684798096498978
"CMSS1",0.0946146423725375,0.00222588894507349,0.132196469673411,1.61894298466289e-10
"RDH14",0.0945502317017392,2.02876159077863e-08,0.00352294206763652,0.754007631028031
"PLAUR",0.0943322922550209,0.000532805844065528,-0.0112111100382668,0.537379578147078
"ATR",0.0940730567803565,0.000591949718075361,0.0477178280993529,0.00904656898802444
"FER",0.0937798907472154,9.2314405844588e-05,0.0266590382835211,0.095831168019362
"ANKRD11",0.0937429433145182,0.0020573016178504,0.0138478297109961,0.495204341070957
"YAP1",0.0934172000300926,0.00108003838706498,-0.067761255528074,0.000383659460204735
"MARK3",0.0925309094489507,0.000336712944859242,-0.0718812858425304,3.03353777183774e-05
"ATF7IP",0.0922172403877721,9.50721705177845e-06,-0.0147383712922277,0.288873327933031
"BTBD11",0.0918069709481021,0.00037742007909207,0.0905549973387559,1.5206804965611e-07
"FNDC3B",0.0917654574741196,0.00256025632660309,0.0102600048949922,0.613402807276425
"DOCK10",0.0916384066487032,0.000535288518379738,-0.0316366757141936,0.0733168981655292
"TBL1XR1",0.0916259519342011,0.00287359933425904,-0.107213917534899,1.77680405837573e-07
"TBC1D5",0.091524754316624,0.00159384852521663,0.0213004056883563,0.271002689462827
"AC020687.1",0.0913058089747028,0.000329645867382671,0.439769788029846,3.34389117407168e-142
"MRE11",0.0912558195046906,1.41357363058529e-05,0.0392231942347008,0.00517355990991642
"MED12L",0.0911670114183106,3.27013878989783e-06,0.0497310760578514,0.000143227158162327
"CDK6",0.0908718403705683,0.00581725096803271,0.0717991668684424,0.00110081036976833
"CCNY",0.0906064891428922,0.000519458475048293,-0.0559990790570446,0.0013145193406758
"UAP1",0.0904628502081137,0.000691800835456351,0.0215376149430887,0.226191060925631
"GLIS3",0.090396519387923,0.0021616129769796,-0.0862348398069687,1.18180600769036e-05
"BABAM2",0.0901925158259159,6.41801690697799e-05,0.0295809677884148,0.0495133864111278
"GRM8",0.0901443024070712,1.1704476976522e-05,-0.0517694485298429,0.00016279900585068
"OSBPL8",0.0901203112230946,0.00074771994312584,0.00811140571209994,0.649353606775006
"DNAH14",0.0899684603043945,0.00060800510587107,0.0593523974838657,0.000706154996622192
"ELK3",0.089711501761809,0.00116323775479893,-0.0648535062839049,0.000437613050843976
"SIPA1L3",0.0896894475664012,0.000397224687793922,-0.000511533797011174,0.975853137000476
"LARP4B",0.0896824818598974,0.000665602704864794,-0.0138153004768892,0.43215083666439
"TUSC3",0.0896309514425032,0.00142463452270404,-0.0123320993657289,0.51086147291327
"SLC20A1",0.0895827266365519,0.00647937984422678,-0.173503464567712,3.1732824394222e-15
"PLD5",0.0893789279308327,6.23999990281883e-05,-0.0763925760013528,2.99970049612199e-07
"HNRNPD",0.0892738842566947,0.00201764336744919,0.0502803447086598,0.00919206311837587
"SYNJ2",0.0887252061310513,0.00159647987684933,-0.0122529825022463,0.513690287496638
"TCF7L2",0.0886928958899908,0.00202727412317764,-0.0652965103229498,0.000666899105390181
"IER2",0.0885796583046474,0.0043800884174286,-0.0733742109395515,0.000408307965248265
"VPS13B",0.0883629269601474,0.00276171986579527,-0.0569975384908626,0.00383136896590264
"MLPH",0.0883463791008156,0.000202432368752124,-0.00531382732119594,0.737697220023862
"PPA2",0.0883462675813325,0.000752255505002113,-0.0243683363486318,0.163754033204234
"DPYD",0.0883437363075426,0.00273160679690896,0.115949576972508,3.96674979545583e-09
"MIR100HG",0.088290662411159,0.0100531611662398,-0.0451882045824131,0.048458514283468
"USP3",0.088262352563294,0.00083245026005259,-0.0995438115247865,1.68816465287842e-08
