"Gene","Coefficient_1227","P_Value_1227","Coefficient_9369","P_Value_9369"
"NSRP1",0.0855937984795155,0.00884310561856234,-0.385406457286859,7.84727863700037e-87
"SV2A",0.0853504971877252,0.000771204047984883,-0.170985386438945,3.55641135135536e-30
"G0S2",0.0847996226416833,0.0955571592332875,-0.187982085421676,3.35071687940662e-10
"DYNC2H1",0.0846868878668576,0.0130228479002054,-0.0411160253113371,0.0400820491217198
"TBL1XR1",0.0845009120243191,0.0214565649922867,-0.0661661110720823,0.00217130761562533
"LPIN2",0.0844782518833838,0.00814812390894266,-0.054145450184939,0.00388520156244701
"HEG1",0.0841462484992513,0.00119534098368452,-0.00959306038086465,0.529221118537617
"STK39",0.083716537638335,0.00478665356903333,-0.0342219067570885,0.0495442639545167
"SIPA1L1",0.0835231727814064,0.0557449545875531,-0.0120255190101862,0.639036477044205
"COL18A1",0.0833977140166441,0.00129932683242142,0.00279954279091037,0.854089270436042
"ARCN1",0.0832971989963403,0.0052787676964445,-0.0161787064472644,0.356116070631394
"SERP1",0.0830573531560104,0.01692698175398,0.104528624634951,3.16433170775071e-07
"ARPC1A",0.0829331549884484,0.010343229994134,0.0782794310888191,3.8026529926602e-05
"NDUFS8",0.0820366648292517,0.0200513867017675,0.0868741626851465,2.78023837959407e-05
"ARNTL2",0.0819822373118386,0.00983059626308476,-0.00753059021818025,0.68628581521192
"AC245297.3",0.0819503691726423,0.00694780130242017,-0.234340367347842,6.08896640278113e-39
"CIAO1",0.081644410774548,0.00649827225016801,0.0262263444877187,0.136525099449499
"ACBD6",0.0813998952056117,0.0105188841668876,0.113908731700381,1.1443713712079e-09
"RSL24D1",0.080909449884026,0.0174540299124092,-0.239615241235108,9.55441965693868e-33
"LMO7",0.0806709616098135,0.0296008508729555,-0.17711261207962,5.00450388151574e-16
"PLEKHA3",0.0802568462750135,0.0027114483704871,-0.0790560259478306,5.00755661375281e-07
"AEBP1",0.0800791333949619,0.00376106919202479,-0.229957531715619,7.12606257207228e-45
"TRAP1",0.0800337371682262,0.0129983741175832,-0.190406738750517,1.22157383208441e-23
"ITGA3",0.0798988911126532,0.00818769288247202,-0.231640137875298,1.93077482483548e-38
"LCORL",0.0796385541714155,0.00289233593561762,0.0183938149563373,0.241243637802897
"ITGA6",0.0792286916718773,0.0349573418809768,-0.0427995042231764,0.0524073259883474
"TRMT6",0.0791634277635225,0.00537667899429878,0.0385070530636543,0.0211295243146858
