"BE2_ranks","gene"
0.102301444355056,"H2AFY"
0.102177502355831,"FIS1"
0.102102791591543,"AC009831.1"
0.102099905127505,"SLC25A27"
0.102093289556534,"AL031600.3"
0.101996872401013,"EFCAB6"
0.10195007464303,"PPP1R16B"
0.101917266135222,"AC068305.2"
0.10181633387812,"AC069287.2"
0.101726643472937,"AL117209.1"
0.101625780730069,"AC020907.1"
0.10156898079049,"CDK18"
0.1015659752704,"RALBP1"
0.10146934785371,"AL391834.2"
0.101467377624003,"TMTC1"
0.101359455189224,"IGF2BP2"
0.101310064264341,"AC110285.2"
0.101295810699297,"ACTL8"
0.101103941232232,"AC132872.2"
0.100958806911212,"ZNF512"
0.100865058748682,"RIMBP2"
0.10082986602286,"AF107885.2"
0.100797834501074,"SUCLA2"
0.100590669591042,"REC114"
0.100536167023571,"U47924.2"
0.100514013386283,"ZNF16"
0.100445585544413,"LRRC56"
0.100426760526102,"FAHD2B"
0.100338314478184,"CYFIP1"
0.100285110269174,"RNF213-AS1"
0.100116941378573,"M6PR"
0.100051755110105,"AC100849.1"
0.100014538366441,"AC091729.3"
0.099920256433152,"AC104365.1"
0.0998384589971514,"PTPRK"
0.0998170033259659,"AC010761.3"
0.0997278439393159,"NEBL"
0.0997026623571977,"MIER3"
0.0995412794587191,"FOXO6"
0.0995131928458477,"RPAP3"
0.0994055707751836,"TSHZ2"
0.0993175630372467,"USP19"
0.0990754881241061,"HIGD1A"
0.0990031857084462,"ZFHX2"
0.0989550252614089,"ZNF565"
0.0988791944168854,"TTN-AS1"
0.0988763845505662,"LINC02582"
0.0988179003963103,"PRKRIP1"
0.09866922488696,"GRTP1-AS1"
0.0985742972605982,"AC005225.2"
0.0985684338059042,"DNAH3"
0.0983880834302894,"AC090115.1"
0.0983567287070727,"ANKRD13C"
0.0983302302907506,"CLN3"
0.0982929443179394,"RXYLT1"
0.0982555736294478,"DCXR-DT"
0.0982513102157823,"IRAK3"
0.098035198230006,"AC079226.2"
0.0979991504080733,"POLD3"
0.097949676107857,"NLN"
0.0979346620049989,"NALCN"
0.0979198431759157,"RMRP"
0.0977951351244525,"TULP2"
0.0977851043005902,"AC055855.2"
0.0977701811537385,"RAPGEF5"
0.0977452095427146,"ZNF750"
0.0977137594070834,"FNTB"
0.0976032789180193,"AL035071.1"
0.0975789802354333,"NDUFA1"
0.0974952120225217,"SNX17"
0.0974636730805051,"MSH2"
0.0974385761626526,"MIOS"
0.0973675661233332,"ARRDC3"
0.0973088365964095,"AL118505.1"
0.0972968630646638,"SCAF4"
0.0972674456319613,"LRRC8C-DT"
0.09723926601268,"SCIN"
0.0972330548211022,"STOML2"
0.097231307422436,"BAAT"
0.0972240947529065,"LRFN1"
0.0972009138946557,"MTUS2"
0.0971580007669788,"AC011476.3"
0.0971302030454455,"THAP2"
0.097122786776928,"COL6A2"
0.0971077400539289,"AC099489.1"
0.0970669028697247,"RBKS"
0.0970313673037794,"AL627309.5"
0.0969955689393321,"SALL4"
0.0969049693832,"OSGEPL1-AS1"
0.0968677130955188,"EBPL"
0.0968157820681286,"TRPV2"
0.0967908794725451,"NEMP1"
0.0967763427727075,"COL4A2"
0.0966399118990468,"LYSMD4"
0.096620163129333,"GRK5"
0.0965972403821562,"PMF1"
0.0965679031741508,"SPATA3"
0.0965468058076298,"AL590399.3"
0.0965339490658954,"ASB18"
0.0964982141214972,"ALG11"
0.0964574155216387,"AP000331.1"
0.096386925781998,"COL6A1"
0.0963390005295353,"NDUFV2-AS1"
0.096280693838511,"MAFIP"
0.0962805619654593,"DANT2"
0.0961613881751155,"GPR156"
0.0960660661827795,"LSM5"
0.096026428433577,"FASTKD2"
0.0959683893139375,"RHD"
0.0959325586278938,"POLR2A"
0.0959104574864891,"AC233723.1"
0.0958268128394412,"TAB1"
0.0958118117450382,"TSC22D1"
0.095707700523736,"RAD21-AS1"
0.0955867848094726,"PHF11"
0.0955718955373598,"PRKDC"
0.0955694124400194,"SLC6A6"
0.0955662338906728,"TPTE2"
0.095564255519218,"AL596087.2"
0.09549161836456,"DHRS1"
0.0954161620791445,"PAX7"
0.0953948347710168,"ARSA"
0.0953922988106169,"ACLY"
0.0953869418167848,"PEX5L"
0.095370776464996,"FRZB"
0.0952984437287877,"ANTXR1"
0.0952373011737613,"RIPOR1"
0.0951995932466677,"LDLRAD4"
0.0949775802744148,"LINC02669"
0.094941298706002,"ZBTB37"
0.0949361834659714,"AC133550.3"
0.0949007129459576,"EFEMP1"
0.094881118407304,"SLC9A2"
0.0948443605022847,"BOP1"
0.0948171980329453,"STK32B"
0.0947762158900552,"ADAMTS6"
0.0947604053886491,"CCL28"
0.094680622855771,"ASB8"
0.0946717444630857,"PSMG1"
0.0946378304308622,"KCNRG"
0.094560677467276,"AP003059.1"
0.0945565973217569,"FADS2"
0.0945188154873366,"L1CAM"
0.0945010734713933,"TMEM256"
0.094401415999607,"PDGFRA"
0.0943296748539887,"EGFLAM"
0.0942924969839599,"AP005436.1"
0.0942853410573484,"TRIP6"
0.0942664304091322,"NPLOC4"
0.0942605030841697,"SLC30A10"
0.0942533974577004,"GRAMD1C"
0.0941603092352106,"RYBP"
0.0940902857633988,"TSPAN15"
0.0940143769964904,"CDR1"
0.0939815937968888,"ANXA8L1"
0.0939121866131237,"SQLE"
0.0937952112631278,"TBC1D16"
0.0937678808016897,"RHBDL2"
0.093655370092696,"TXNDC15"
0.0936302534415761,"GBP4"
0.0935011308489336,"PTPRJ"
0.0934759358731747,"CRIM1"
0.0934174621505281,"RAD23B"
0.09337510460426,"LINC01275"
0.0933147694603603,"KRT7"
0.0932286539659526,"SH3BP5"
0.0931497503325743,"MED12"
