"BE1_ranks","gene","genetype","ranks"
0.0682769704027106,"TFCP2","Nuclear",29034
0.0682613972654328,"ANKS1B","Nuclear",29033
0.0679584818252616,"RBFOX2","Nuclear",29032
0.067929726921723,"POU2F2","Nuclear",29031
0.0677694328689174,"OGT","Nuclear",29030
0.067647676412233,"FOCAD","Nuclear",29029
0.0675505430208303,"CRIM1","Nuclear",29028
0.0674929916200025,"NCAM1","Nuclear",29027
0.0674405543615051,"SEPTIN7","Nuclear",29026
0.0672973805009087,"DOCK7","Nuclear",29025
0.0672353269306949,"ARID1B","Nuclear",29024
0.0671415756095147,"SIPA1L3","Nuclear",29023
0.0669634646192353,"EIF5B","Nuclear",29022
0.0668952816855043,"PTBP2","Nuclear",29021
0.0668486437300099,"ALDH1L2","Nuclear",29020
0.0667926585983911,"VCAN","Nuclear",29019
0.0667697432453171,"GARS","Nuclear",29018
0.0667165824696978,"MEIS2","Nuclear",29017
0.0666395637989555,"SEPTIN2","Nuclear",29016
0.0666265856135423,"RNF175","Nuclear",29015
0.0665899103723368,"VPS13C","Nuclear",29014
0.0664852396031495,"BBS9","Nuclear",29013
0.0664165344157501,"ADGRL2","Nuclear",29012
0.0663387305685229,"MNAT1","Nuclear",29011
0.0663300846816083,"AC112721.2","Nuclear",29010
0.0662929504350668,"TMOD3","Nuclear",29009
0.0662814381839551,"NTNG1","Nuclear",29008
0.0661998255626529,"AFF3","Nuclear",29007
0.066150577117737,"PPP4R4","Nuclear",29006
0.0661445717204567,"FHOD3","Nuclear",29005
0.0660840226036958,"CCDC91","Nuclear",29004
0.0660257054698614,"EML6","Nuclear",29003
0.0660236829134835,"SH3RF3","Nuclear",29002
0.0659824949761127,"SLC4A7","Nuclear",29001
0.065851511654598,"TBC1D5","Nuclear",29000
0.0658096647656636,"CNOT4","Nuclear",28999
0.0657071099568085,"EIF5","Nuclear",28998
0.0656600121874451,"CCNY","Nuclear",28997
0.0655837038134338,"EHBP1","Nuclear",28996
