"gene","BE1_ranks","BE2_ranks"
"AC004223.4",0.00772773768417461,0.00803315734124444
"AC004231.1",-0.00130101570815316,0.0044243952642368
"AC004231.3",-0.00887265268651427,0.00253511529948699
"AC004232.1",0.0017431024031001,0.0219004092981236
"AC004233.2",-0.0239394229046569,-0.0207654016781305
"AC004233.3",-0.00760942622817984,0.00343180665147403
"AC004241.1",0.00315777983395284,-0.0086222908004833
"AC004241.2",0.0167570150805768,0.011247031078276
"AC004241.3",-0.00724589469993107,-0.000113504317282334
"AC004241.4",-0.0116471945798957,-0.0263378996031078
"AC004253.1",0.000566355781104869,0.00738734041320294
"AC004257.1",-0.0190559519921116,-0.0218222682192391
"AC004263.1",-0.000947557772270938,0.00399898128957442
"AC004263.2",0.0125313698617654,-0.00241780870435228
"AC004381.1",0.00675016411427211,-0.0187521246756741
"AC004408.1",-0.00746088534698957,0.00849542043300977
"AC004448.2",-0.019353232696605,-0.00776889873488537
"AC004449.1",0.0184290120163985,0.00938133224423099
"AC004461.2",0.00304762809276813,0.0127663754022096
"AC004466.1",0.00253001304952548,0.00579999057443393
"AC004466.2",-0.00843900482347131,-0.00223163744754921
"AC004466.3",0.0167736289007347,-0.00622820314198711
"AC004471.1",0.0172353766774991,0.0084827464728834
"AC004471.2",0.00146207117578503,0.014510054907442
"AC004477.1",0.0242299810915332,0.0127872525081669
"AC004477.2",-0.013399161173632,-0.0028423556323801
"AC004477.3",0.00158053294041751,-0.00705244616149725
"AC004485.1",0.00133296711361872,-0.00384304800992733
"AC004490.1",0.010443315465882,0.000350308465254226
"AC004492.1",-0.00980820104821623,0.00196385947906636
"AC004494.1",0.0239176630860617,0.0234669417117208
"AC004522.3",0.0117844658880183,-0.0159191882170638
"AC004522.4",-0.00808247726071495,0.0123561011608191
"AC004522.5",0.00205446216486856,0.00147425501885081
"AC004528.1",0.00127316410369101,-0.0144745935240692
"AC004528.2",0.0008714689400282,-0.0118082573199789
"AC004540.1",0.0181861212591608,0.0010435158370414
"AC004540.2",-0.00232890279627868,-0.00899314912094132
"AC004542.1",0.00803344006172629,0.00309793360827738
"AC004542.2",-0.00312955793035815,0.0226610180905253
"AC004551.1",-0.00504117928706606,0.0181463680847994
"AC004554.2",0.012511336805522,-0.00864953451013459
"AC004556.3",0.00605302961078763,0.00729382755563298
"AC004584.1",-0.0147935917955276,0.0259209785417711
"AC004584.3",-0.0138839151382776,0.00188197888604076
"AC004585.1",0.0138497672801896,0.000894567660806058
"AC004590.1",-0.00327314823205401,-0.00281990871113303
"AC004593.1",-0.00117118689878815,0.00305803953365619
"AC004593.2",-0.00444301696830621,-0.0127056957479673
"AC004593.3",0.00106006547269903,-0.00520084847470211
"AC004594.1",0.00321308829159446,-0.0147386714223945
"AC004596.1",0.00495643273657549,-0.0094069566849753
"AC004672.1",0.0183062902138762,-0.0064606372602854
"AC004687.1",0.00204465302269306,-0.00246026356205284
"AC004690.2",0.00979216708729197,0.0142419617889444
"AC004691.1",-0.0206155491526535,-0.000953308155862798
"AC004692.2",0.00672701874005415,0.0159836148876796
"AC004702.1",0.0150425326956836,0.00282149431383185
"AC004704.1",0.0166595545244539,0.0402928726294045
"AC004706.3",-0.00545769557225939,0.0233323367138443
"AC004765.1",0.0111894951520097,0.00246743123054086
"AC004771.1",0.00419492778206629,-0.000790246097140307
"AC004771.2",0.000801392880341538,-0.00413181107932637
"AC004771.3",-0.00503883039002429,0.000302089277625387
"AC004771.4",0.0054703999016629,-0.00106580424259235
"AC004771.5",-0.00848447309492008,0.00150365834577619
"AC004784.1",-0.00761627850672403,-0.0396406301414497
"AC004797.1",0.0162617427812132,0.0373552070719501
"AC004801.4",0.0011723796989587,-0.00280839481601553
"AC004801.6",0.00655262305820804,0.00758706593372055
"AC004803.1",0.0173271865481575,-0.00206352014021141
"AC004812.2",0.000430699112701187,-0.0131396441796463
"AC004816.1",-0.00773975750212211,-0.00986584275089388
"AC004816.2",0.0171507328485374,-0.00960096876758216
"AC004817.3",0.000184928317750613,0.0171757655713867
"AC004817.5",0.0109429181574275,0.013854016619305
"AC004825.2",-0.00616022831813479,-0.0103925581622337
