"BE1_ranks","gene"
0.0794387932517431,"VPS13B"
0.0792803900918515,"SDCCAG8"
0.078848333173325,"HIPK2"
0.0787990416079076,"MAP2K5"
0.0787312305326015,"MARK3"
0.0786397128993802,"RPL4"
0.0781206208992377,"SUPT3H"
0.0780146835240239,"XKR6"
0.0779922349294081,"FBXL7"
0.0776340511070476,"APBB2"
0.0769523926114763,"OXR1"
0.0769500051960827,"PLD5"
0.0764860127775606,"DOCK3"
0.07641776086718,"NEAT1"
0.0764161608106613,"FER"
0.07631074551387,"HERC4"
0.0762598382417968,"SYT14"
0.0762222353557789,"FRMD4B"
0.076166038193622,"LRRFIP1"
0.0759075856664165,"PRKCA"
0.0758696786168808,"GRM8"
0.0758438719696478,"VRK1"
0.0757675594674742,"BCKDHB"
0.0757228526281069,"DNAH14"
0.0756632286036614,"GMDS"
0.0756623054896906,"COG5"
0.0756427650841901,"IGF2BP2"
0.0756097577957183,"SCMH1"
0.0755505541808165,"PDE4B"
0.0755122348670593,"CAMK1D"
0.0754110383010062,"FUOM"
0.0754068712211083,"NEGR1"
0.0753690459807302,"BIRC6"
0.0752895553280699,"TTC28"
0.0751133014351111,"SF3B1"
0.0751065884636056,"MIR222HG"
0.0750538952511811,"KMT2C"
0.0749725835088113,"ARIH1"
0.0749689289641312,"CUL1"
0.0746352341767978,"BCAT1"
0.0743800275288776,"RTN4"
0.0742839096077755,"PPFIBP1"
0.0742809825822043,"THADA"
0.0742014436265138,"DOCK10"
0.0740719310977797,"ARHGAP22"
0.0738851142979359,"MYO10"
0.0738716143156399,"MED13L"
0.0737578507547722,"RFX7"
0.073410492605606,"RIMS2"
0.0733255491563437,"PVT1"
0.0731297835406706,"SRGAP1"
0.073087973857008,"LINC01278"
0.0729090421259922,"DYNC1H1"
0.0728044711669417,"ST3GAL3"
0.0727128606242467,"ZRANB3"
0.0724530480494448,"MYO9A"
0.0724199795571555,"NAV3"
0.0721828841629109,"TNRC6B"
0.0716470203124372,"WWOX"
0.0715626002443991,"MIR4713HG"
0.0714748409894783,"COL6A3"
0.0714225494236627,"DLGAP1"
0.0714017023578003,"MAPK8"
0.0712994575262799,"DPH6"
0.0710893402799545,"S100A6"
0.0709331273739694,"UST"
0.0709112893839112,"NIPBL"
0.0708832772298704,"APP"
0.0708146247775591,"RELN"
0.0707979581850999,"PRTFDC1"
0.0705683986291465,"NFAT5"
0.0704605680104516,"KIAA1328"
0.0703317889357798,"PLCL2"
0.0699258893299694,"COA1"
0.069832067950509,"WAC"
0.0696712769590654,"MAGI1"
0.0695561830369628,"GPATCH2L"
0.0695150187754979,"ZFPM2"
0.0694882326540854,"ADAMTS2"
0.0694558382180839,"AEBP1"
0.0694163682505628,"ZNF638"
0.0692693239518039,"CHCHD3"
0.0691398810145587,"BAZ2B"
0.0690057467969596,"ITPR2"
0.0689191020089916,"HIVEP3"
0.0688502420721162,"GLIS3"
0.0687852322664268,"LARGE1"
0.0687015369937518,"MPP6"
0.0686733709703569,"CDK17"
0.0686217952622262,"CEP128"
0.0684602891700582,"LAMC2"
0.0684205720259491,"LRPPRC"
0.0683449502028757,"JARID2"
0.0683077474372052,"PUM2"
0.0682876810915515,"KRAS"
0.0682769704027106,"TFCP2"
0.0682613972654328,"ANKS1B"
0.0679584818252616,"RBFOX2"
0.067929726921723,"POU2F2"
0.0677694328689174,"OGT"
0.067647676412233,"FOCAD"
0.0675505430208303,"CRIM1"
0.0674929916200025,"NCAM1"
0.0674405543615051,"SEPTIN7"
0.0672973805009087,"DOCK7"
0.0672353269306949,"ARID1B"
0.0671415756095147,"SIPA1L3"
0.0669634646192353,"EIF5B"
0.0668952816855043,"PTBP2"
0.0668486437300099,"ALDH1L2"
0.0667926585983911,"VCAN"
0.0667697432453171,"GARS"
0.0667165824696978,"MEIS2"
0.0666395637989555,"SEPTIN2"
0.0666265856135423,"RNF175"
0.0665899103723368,"VPS13C"
0.0664852396031495,"BBS9"
0.0664165344157501,"ADGRL2"
0.0663387305685229,"MNAT1"
0.0663300846816083,"AC112721.2"
0.0662929504350668,"TMOD3"
0.0662814381839551,"NTNG1"
0.0661998255626529,"AFF3"
0.066150577117737,"PPP4R4"
0.0661445717204567,"FHOD3"
0.0660840226036958,"CCDC91"
0.0660257054698614,"EML6"
0.0660236829134835,"SH3RF3"
0.0659824949761127,"SLC4A7"
0.065851511654598,"TBC1D5"
0.0658096647656636,"CNOT4"
0.0657071099568085,"EIF5"
0.0656600121874451,"CCNY"
0.0655837038134338,"EHBP1"
0.0655823883465473,"AC016831.7"
0.0655319152610502,"PHKB"
0.0655237726242817,"METTL15"
0.0654619816638804,"STRADA"
0.0653355464184459,"CD59"
0.0652935771865935,"DYM"
