"Compound","variable","value","t_test_HLTvsCT","p.adj.hllt","t_test_LLTvsCT","p.adj.lllt","t_test_LLTvsHHT","p.adj.hvl"
"AKG","Low Heteroplasmy (9%) vs WT",1.06685599660736,0.224509925066441,0.276319907774081,0.00389864124026623,0.00779728248053245,0.0536135439179233,0.0714847252238977
"Lactate","Low Heteroplasmy (9%) vs WT",1.03414251903795,0.641323446648594,0.641323446648594,0.063288774448748,0.0778938762446129,0.00235448447013895,0.00376717515222233
"fructose 1,6-diphosphate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.99010800431637,0.023254572085858,0.0620121922289547,0.0307009765585934,0.0446559659034086,0.638924345691548,0.638924345691548
"Aspartate","Low Heteroplasmy (9%) vs WT",0.957953633033154,0.469907085510166,0.537036669154476,0.00217419757198368,0.00577253846579985,1.29368488652025e-05,5.17473954608098e-05
"Aconitate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.95234755335325,0.0217508443956911,0.0620121922289547,0.01045395169716,0.0185848030171733,0.120295459144373,0.137480524736427
"Pyruvate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.935179019701397,0.222610906935543,0.276319907774081,0.152153360382954,0.173889554723376,0.200990678582219,0.214390057154367
"Glucose 6-phosphate","High Heteroplasmy (25%) vs WT",0.931677579987215,0.135295107187485,0.196792883181796,0.240085690973311,0.256091403704865,0.000169469692100848,0.000451919178935595
"phosphoenolpyruvate (PEP)","Low Heteroplasmy (9%) vs WT",0.92493116656228,0.513486340108742,0.547718762782659,0.037198616160259,0.0495981548803453,0.0409961183087309,0.0596307175399723
"Succinate","High Heteroplasmy (25%) vs WT",0.91338923102957,0.129215144650869,0.196792883181796,0.351952372686281,0.351952372686281,0.0915122222457773,0.112630427379418
"Citrate","Low Heteroplasmy (9%) vs WT",0.866804399656589,0.0546522323100046,0.109304464620009,0.00252548557878744,0.00577253846579985,1.69396543416238e-05,5.42068938931963e-05
"Glucose 6-phosphate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.841779274010802,0.135295107187485,0.196792883181796,0.240085690973311,0.256091403704865,0.000169469692100848,0.000451919178935595
"Arginine","Low Heteroplasmy (9%) vs WT",0.835668077934334,0.0488608243267982,0.109304464620009,0.00188777730183719,0.00577253846579985,0.000602435802010402,0.00137699611888092
"Succinate","Low Heteroplasmy (9%) vs WT",0.82068012534884,0.129215144650869,0.196792883181796,0.351952372686281,0.351952372686281,0.0915122222457773,0.112630427379418
"Citrate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.813688557324421,0.0546522323100046,0.109304464620009,0.00252548557878744,0.00577253846579985,1.69396543416238e-05,5.42068938931963e-05
"Aconitate","Low Heteroplasmy (9%) vs WT",0.812716464266254,0.0217508443956911,0.0620121922289547,0.01045395169716,0.0185848030171733,0.120295459144373,0.137480524736427
"Pyruvate","Low Heteroplasmy (9%) vs WT",0.800241641337092,0.222610906935543,0.276319907774081,0.152153360382954,0.173889554723376,0.200990678582219,0.214390057154367
"phosphoenolpyruvate (PEP)","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.787894011452941,0.513486340108742,0.547718762782659,0.037198616160259,0.0495981548803453,0.0409961183087309,0.0596307175399723
"Aconitate","High Heteroplasmy (25%) vs WT",0.773988536313871,0.0217508443956911,0.0620121922289547,0.01045395169716,0.0185848030171733,0.120295459144373,0.137480524736427
"Arginine","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.773645622236036,0.0488608243267982,0.109304464620009,0.00188777730183719,0.00577253846579985,0.000602435802010402,0.00137699611888092
"Pyruvate","High Heteroplasmy (25%) vs WT",0.748369193669859,0.222610906935543,0.276319907774081,0.152153360382954,0.173889554723376,0.200990678582219,0.214390057154367
"phosphoenolpyruvate (PEP)","High Heteroplasmy (25%) vs WT",0.728747727140603,0.513486340108742,0.547718762782659,0.037198616160259,0.0495981548803453,0.0409961183087309,0.0596307175399723
"Aspartate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.713680298350893,0.469907085510166,0.537036669154476,0.00217419757198368,0.00577253846579985,1.29368488652025e-05,5.17473954608098e-05
"Citrate","High Heteroplasmy (25%) vs WT",0.705308821439031,0.0546522323100046,0.109304464620009,0.00252548557878744,0.00577253846579985,1.69396543416238e-05,5.42068938931963e-05
"Aspartate","High Heteroplasmy (25%) vs WT",0.683672634629423,0.469907085510166,0.537036669154476,0.00217419757198368,0.00577253846579985,1.29368488652025e-05,5.17473954608098e-05
"Arginine","High Heteroplasmy (25%) vs WT",0.6465109501363,0.0488608243267982,0.109304464620009,0.00188777730183719,0.00577253846579985,0.000602435802010402,0.00137699611888092
"Glucose","Low Heteroplasmy (9%) vs WT",0.637027136540924,0.0770918817165021,0.13705223416267,0.0155647060177066,0.0249035296283306,0.00217033313902186,0.00376717515222233
"Glucose","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",0.601323080462537,0.0770918817165021,0.13705223416267,0.0155647060177066,0.0249035296283306,0.00217033313902186,0.00376717515222233
"Glucose","High Heteroplasmy (25%) vs WT",0.383059120083018,0.0770918817165021,0.13705223416267,0.0155647060177066,0.0249035296283306,0.00217033313902186,0.00376717515222233
