"BE1_ranks","gene","z","genetype","ranks_sort"
0.0875063570366092,"TMEM150A",0.0877307448398708,"Nuclear",4195
0.0874777752363299,"SERINC1",0.0877019425621386,"Nuclear",4194
0.0874560722282723,"METTL2B",0.0876800722359645,"Nuclear",4193
0.0874187658286041,"BTBD9",0.0876424784202077,"Nuclear",4192
0.0873972832496669,"MRRF",0.0876208304472328,"Nuclear",4191
0.0873966631066517,"RIF1",0.0876202055309628,"Nuclear",4190
0.0873961913165267,"GFER",0.0876197301095043,"Nuclear",4189
0.0873923540865345,"RSBN1L",0.0876158633461056,"Nuclear",4188
0.0873847913986406,"SMIM4",0.087608242459308,"Nuclear",4187
0.0873688862530075,"GNB4",0.087592214948244,"Nuclear",4186
0.0873591716298618,"PTPN9",0.0875824256082195,"Nuclear",4185
0.0873572261815975,"RPUSD1",0.087580465199182,"Nuclear",4184
0.0873331245944216,"G6PD",0.0875561783230635,"Nuclear",4183
0.0873270945885488,"NOC4L",0.0875501019756351,"Nuclear",4182
0.0873218872701638,"PER1",0.0875448546433677,"Nuclear",4181
0.087278872892831,"ATF3",0.0875015099204484,"Nuclear",4180
0.0872737436041117,"RIPK4",0.087496341261256,"Nuclear",4179
0.0872666993154698,"KNSTRN",0.0874892429109282,"Nuclear",4178
0.087239605945486,"TMEM178B",0.0874619416937006,"Nuclear",4177
0.087233020736117,"LITAF",0.0874553059854346,"Nuclear",4176
0.0872283416303228,"SHARPIN",0.0874505910024307,"Nuclear",4175
0.0872179939756827,"BLOC1S4",0.0874401640205531,"Nuclear",4174
0.0872148938019057,"DPH2",0.0874370400839019,"Nuclear",4173
0.0872113483708079,"PDCD6IP",0.0874334674791131,"Nuclear",4172
0.0871930485562163,"CCND3",0.0874150274423617,"Nuclear",4171
0.0871878043700933,"DNTTIP1",0.0874097430836429,"Nuclear",4170
0.0871806700643659,"RBCK1",0.0874025541340538,"Nuclear",4169
0.0871801162089571,"PLPP6",0.0874019960368715,"Nuclear",4168
0.0871573520616807,"RIPPLY2",0.0873790575944032,"Nuclear",4167
0.0871456202378745,"PRPF3",0.0873672359809323,"Nuclear",4166
0.0871316265086935,"DLG5",0.0873531351824182,"Nuclear",4165
0.0871306655788863,"KRT80",0.0873521669015811,"Nuclear",4164
0.0871252029692466,"FOXO3",0.0873466625065545,"Nuclear",4163
0.0871185497311124,"SOX21",0.0873399583826358,"Nuclear",4162
0.0871111446993929,"ZNF836",0.0873324967244173,"Nuclear",4161
0.0871077801433284,"SENP6",0.087329106442697,"Nuclear",4160
0.0870979036503949,"PHF23",0.0873191544449009,"Nuclear",4159
0.0870715804177511,"ISG20L2",0.0872926300578746,"Nuclear",4158
0.0870642444110158,"LRRC45",0.0872852380133703,"Nuclear",4157
0.08705683313121,"MUC4",0.0872777701304666,"Nuclear",4156
0.0870454525759413,"HMGN3",0.0872663026759574,"Nuclear",4155
0.0870285832934316,"STK25",0.087249304625695,"Nuclear",4154
0.0870147240718619,"TTC37",0.0872353396506057,"Nuclear",4153
0.0870128787021828,"DLD",0.0872334802022966,"Nuclear",4152
0.0870104423227422,"MOB3A",0.0872310252362366,"Nuclear",4151
0.0870044919100141,"CPVL",0.087225029433487,"Nuclear",4150
0.0870031975327003,"FBLN1",0.087223725183432,"Nuclear",4149
0.0870031398576051,"GTF2IRD2",0.0872236670684323,"Nuclear",4148
0.0869985000783169,"AKAP9",0.0872189919021434,"Nuclear",4147
0.0869856061909726,"PLAUR",0.0872059996947453,"Nuclear",4146
0.0869744474787092,"SECISBP2",0.0871947559174025,"Nuclear",4145
0.0869573935524548,"PHACTR4",0.0871775720281676,"Nuclear",4144
0.0869551701942279,"PISD",0.0871753317301626,"Nuclear",4143
0.086953335819294,"REX1BD",0.0871734833797736,"Nuclear",4142
0.0869516503559019,"CDC42SE1",0.0871717850759546,"Nuclear",4141
0.0869504133374622,"NAA25",0.0871705386338116,"Nuclear",4140
0.0869406686348928,"WDR74",0.087160719704782,"Nuclear",4139
0.0869391756640143,"NOM1",0.0871592153632628,"Nuclear",4138
0.0869286167970027,"FUNDC2",0.0871485760899182,"Nuclear",4137
0.0869268963088547,"UBTF",0.0871468425020263,"Nuclear",4136
0.0869223513627882,"LDLR",0.087142262953393,"Nuclear",4135
0.0869218819621553,"PSMC2",0.0871417899792253,"Nuclear",4134
0.0868892584035251,"MPC1",0.0871089181535606,"Nuclear",4133
0.0868718291369247,"DCAF16",0.0870913563262677,"Nuclear",4132
0.0868353742782513,"LIPI",0.0870546243783732,"Nuclear",4131
0.0868275930911221,"ELMO3",0.0870467840776774,"Nuclear",4130
0.0868206214959401,"HIST1H2BH",0.0870397595284537,"Nuclear",4129
0.0868166823460153,"TOP3B",0.0870357904617747,"Nuclear",4128
0.0867930900042931,"AP001816.1",0.0870120189999887,"Nuclear",4127
0.0867755890874461,"SPIRE1",0.0869943852743559,"Nuclear",4126
0.0867728800988302,"PRR13",0.0869916557329269,"Nuclear",4125
0.0867653725099882,"STRBP",0.0869840911915509,"Nuclear",4124
0.0867400260744292,"MDN1",0.0869585525513972,"Nuclear",4123
0.0867376994613517,"DFFA",0.0869562083010467,"Nuclear",4122
0.0867337106211573,"RRS1",0.0869521892250116,"Nuclear",4121
0.086732818337601,"WRAP73",0.0869512901782328,"Nuclear",4120
0.0867312167908397,"NR1D2",0.0869496764926136,"Nuclear",4119
0.0867304655381684,"ARMCX5-GPRASP2",0.0869489195460093,"Nuclear",4118
0.0866833717116018,"HDAC11",0.086901468981834,"Nuclear",4117
0.0866529591330279,"PDZD8",0.0868708262342149,"Nuclear",4116
0.0866520112847214,"AC108673.3",0.0868698712150004,"Nuclear",4115
0.0866415284663497,"CPLANE1",0.0868593090998302,"Nuclear",4114
0.0866287232158867,"SYVN1",0.0868464070108671,"Nuclear",4113
0.0866266910995722,"PTPRD-AS1",0.0868443595295162,"Nuclear",4112
0.0866235532823973,"FBXO48",0.0868411979884157,"Nuclear",4111
0.0866170154869412,"PNP",0.0868346107685638,"Nuclear",4110
0.0865805215235375,"UTP3",0.0867978410563356,"Nuclear",4109
0.0865660498683853,"TERF1",0.0867832601180157,"Nuclear",4108
0.0865483240993441,"SPATA13",0.0867654005424151,"Nuclear",4107
0.0865474179329024,"PIGX",0.0867644875370759,"Nuclear",4106
0.0865404066877273,"LIMD1",0.086757423382451,"Nuclear",4105
0.08652132202082,"DARS-AS1",0.0867381947393379,"Nuclear",4104
0.0865052617079861,"KDM8",0.0867220133158357,"Nuclear",4103
0.0865046600867032,"BAIAP2L2",0.0867214071586127,"Nuclear",4102
0.086479844156797,"UBLCP1",0.0866964041837083,"Nuclear",4101
0.0864098877731837,"MFN2",0.0866259211000796,"Nuclear",4100
0.0864062199838161,"ZNF281",0.0866222257197021,"Nuclear",4099
0.0864050670879483,"PITX2",0.0866210641516424,"Nuclear",4098
0.0863910502176809,"SS18",0.0866069418637984,"Nuclear",4097
0.0863908331332178,"BUB1B",0.0866067231469652,"Nuclear",4096
0.0863896202284666,"HHIP",0.0866055011219095,"Nuclear",4095
0.08638195700886,"UBALD1",0.0865977802855268,"Nuclear",4094
0.0863786520481118,"PPHLN1",0.0865944504792391,"Nuclear",4093
0.0863662526450869,"RNF19A",0.0865819578789106,"Nuclear",4092
0.0863631437909209,"WIZ",0.0865788256619734,"Nuclear",4091
0.0863594515839841,"DENND4B",0.0865751057106211,"Nuclear",4090
0.0863317030359318,"SMG7",0.0865471487276387,"Nuclear",4089
0.086318838441088,"AL122035.1",0.0865341875453859,"Nuclear",4088
0.0863176835728863,"AC019068.1",0.0865330240078496,"Nuclear",4087
0.0863124977317866,"DIS3L2",0.086527799240694,"Nuclear",4086
0.0863041977481305,"DNAJC14",0.0865194369653543,"Nuclear",4085
0.0862661401159124,"SNX1",0.0864810938637408,"Nuclear",4084
0.0862605041474538,"DIS3",0.0864754156415827,"Nuclear",4083
0.0862469760561121,"LIMA1",0.0864617861508136,"Nuclear",4082
0.0862426643493321,"TMEM97",0.0864574421324912,"Nuclear",4081
0.086220976624779,"FLNC",0.0864355919314402,"Nuclear",4080
0.086208535324617,"TMEM159",0.086423057462771,"Nuclear",4079
